COST_ELEMENT,DESCRIPTION,BUDGET_CATEGORY_CODE,ON_OFF_CAMPUS_FLAG,UPDATE_TIMESTAMP,UPDATE_USER,VER_NBR,OBJ_ID,ACTIVE_FLAG,FIN_OBJECT_CODE
Beakers,Beakers for liquids,11,1,sysdate,admin,1,sys_guid(),1,1111
That,Happiness,12,1,sysdate,admin,2,sys_guid(),0,2222
is,Tomatoes,13,1,sysdate,admin,3,sys_guid(),1,3333
an,Crackers,14,1,sysdate,admin,4,sys_guid(),0,4444
interesting,Hello Kitty,15,1,sysdate,admin,5,sys_guid(),1,5555
story,Baker,16,1,sysdate,admin,6,sys_guid(),0,6666
you,Dog,17,1,sysdate,admin,7,sys_guid(),1,7777
told,Horse,18,1,sysdate,admin,8,sys_guid(),0,8888
us,Board,19,1,sysdate,admin,9,sys_guid(),1,9999
about ,Good,20,1,sysdate,admin,10,sys_guid(),0,9991
your,Yes,21,1,sysdate,admin,11,sys_guid(),1,9992
camping,Post,22,1,sysdate,admin,12,sys_guid(),0,9993
trip,Up,23,1,sysdate,admin,13,sys_guid(),1,9994
